Module,Transition,Spectrum_RelErr,Baseline_MSE,Baseline_MAE,Baseline_RelErr,Inner_MSE,Inner_MAE,Inner_RelErr,Ambient_MSE,Ambient_MAE,Ambient_RelErr,Drift_Ratio
Lang_L1.self_attn.q_proj,Base->Stage1,1.8086652768877108e-05,5.797149927047863e-10,9.896137935962689e-06,0.0008097580670121563,2.8921488301916356e-13,4.248907059210344e-07,1.8086658395608604e-05,2.892148830186896e-13,4.2489070592073705e-07,1.8086658395593778e-05,1.000000000001639
Lang_L1.self_attn.q_proj,Stage1->Stage2,5.921189631799809e-05,5.01904335657878e-09,4.1123382750608665e-05,0.0023826328223392045,3.0997160056634114e-12,1.3803652108153412e-06,5.921170945478673e-05,3.0997160056638787e-12,1.3803652108155053e-06,5.921170945479119e-05,0.9999999999998492
Lang_L1.self_attn.q_proj,Base->Stage2,6.061502142066607e-05,5.356357647981171e-09,4.309000121244938e-05,0.002461395658635583,3.2483645475421196e-12,1.4107177437280506e-06,6.061484898642354e-05,3.2483645475477345e-12,1.4107177437292873e-06,6.061484898647593e-05,0.9999999999982715
Lang_L1.self_attn.k_proj,Base->Stage1,1.4224920092665238e-05,4.642314390006318e-10,7.834900899617026e-06,0.0005016513677338796,3.624143851156707e-10,1.1434888333430134e-05,0.000443238462874749,3.732764258814142e-13,4.773775079284717e-07,1.4224925739834355e-05,970.9008123400906
Lang_L1.self_attn.k_proj,Stage1->Stage2,5.002539938043704e-05,4.388630573245723e-09,3.418880459726825e-05,0.0015424013431075514,3.329389008060531e-09,3.977495028627268e-05,0.0013434303434581786,4.616487632526984e-12,1.6434864320216001e-06,5.002518700672485e-05,721.1952620867484
Lang_L1.self_attn.k_proj,Base->Stage2,5.2542541441928604e-05,4.665862047077033e-09,3.5809784625695507e-05,0.0015903723980336562,3.48349193272244e-09,4.113230625818753e-05,0.0013741694433678636,5.092758040088312e-12,1.730324256486754e-06,5.254233924144227e-05,684.00892115857
Lang_L1.self_attn.v_proj,Base->Stage1,3.668260078244784e-05,7.66698453842599e-10,1.3775126118220626e-05,0.0014482045579416237,6.169484022170694e-10,1.6848859670127773e-05,0.0012990983710169993,4.919071643331948e-13,5.482259769638262e-07,3.668252229807677e-05,1254.1968219824048
Lang_L1.self_attn.v_proj,Stage1->Stage2,0.00011729292056785444,5.4175412331585195e-09,4.9093266627942e-05,0.0038495573672770143,4.2680609101466376e-09,4.934039862223842e-05,0.0034168427143720388,5.029309561823081e-12,1.7483162850894398e-06,0.00011729077806655122,848.6375431222218
Lang_L1.self_attn.v_proj,Base->Stage2,0.00012488346728673313,5.952558383157515e-09,5.212386627784227e-05,0.0040351670178783265,4.6480144620926395e-09,5.1848870091832766e-05,0.0035656886499578636,5.701285705755624e-12,1.8637967151530494e-06,0.00012488091894446171,815.2572423094541
Lang_L1.self_attn.o_proj,Base->Stage1,2.8205524722307405e-05,7.992489225733862e-10,1.3280320548290231e-05,0.0012493281017097431,4.073784108752828e-13,5.082947046310365e-07,2.8205544234511426e-05,4.0737841087426513e-13,5.082947046304571e-07,2.8205544234476192e-05,1.000000000002498
