Module,Transition,Domain,Spectrum_RelErr,Baseline_MSE,Baseline_MAE,Baseline_RelErr,Inner_MSE,Inner_MAE,Inner_RelErr,Ambient_MSE,Ambient_MAE,Ambient_RelErr,Drift_Ratio,e_src,e_L,e_R,e_tgt
Lang_L0.self_attn.q_proj,Base->Stage1,Lang,1.3988866519200701e-05,5.675555542237726e-10,9.098149399158761e-06,0.0006475464079400562,2.6486946264308145e-13,4.1037170954247113e-07,1.398887066097031e-05,2.648694626426043e-13,4.103717095421591e-07,1.3988870660957707e-05,1.0000000000018014,4.5126477638215006e-13,2.4833603993007323e-13,2.4951154340118913e-13,0.0010540128303961607
Lang_L0.self_attn.q_proj,Stage1->Stage2,Lang,4.824434007707555e-05,6.081793730114382e-09,4.4256292370356554e-05,0.0021197384392501383,3.1503537372563577e-12,1.4070026475640248e-06,4.824430925628194e-05,3.1503537372563884e-12,1.4070026475640604e-06,4.824430925628218e-05,0.9999999999999902,4.341192799937765e-13,2.3957223005117657e-13,2.419265577737371e-13,0.0036350435047725928
Lang_L0.self_attn.q_proj,Base->Stage2,Lang,4.940509960523292e-05,6.397271366932975e-09,4.593402625363563e-05,0.0021740214205169276,3.303774497964236e-12,1.4416554080177266e-06,4.940508267064729e-05,3.3037744979611056e-12,1.4416554080176072e-06,4.940508267062388e-05,1.0000000000009477,4.512674118625568e-13,2.483390207324864e-13,2.4951043841188934e-13,0.003722503806834355
Lang_L0.self_attn.k_proj,Base->Stage1,Lang,1.115172481934285e-05,4.3488454097068426e-10,6.898376338826395e-06,0.00041401713394856646,3.7279994070074785e-10,1.0536313057939584e-05,0.00038332685586028696,3.155160937019271e-13,4.2790186305968633e-07,1.1151725940987736e-05,1181.556022473255,0.013974555390306091,8.246165973355981e-14,0.013974555390306091,0.000406720176208159
Lang_L0.self_attn.k_proj,Stage1->Stage2,Lang,3.762307853578282e-05,4.669711596671034e-09,3.353965999242092e-05,0.0013566749752915706,3.928602566511564e-09,4.14433416848888e-05,0.001244370860521489,3.5912529762634305e-12,1.4601743876642013e-06,3.762303132073451e-05,1093.9364596361945,0.045364979776410484,8.716553417395425e-14,0.045364979776410505,0.0013721701208010623
Lang_L0.self_attn.k_proj,Base->Stage2,Lang,3.806707243870502e-05,4.849065006944587e-09,3.451454348080141e-05,0.0013824829624602066,4.067911379483559e-09,4.245494138781303e-05,0.0012662414509102377,3.67651536299036e-12,1.4630606981027033e-06,3.8067028495287855e-05,1106.4584199574376,0.046162548567390195,8.246353518896209e-14,0.046162548567390195,0.0013883633842159228
Lang_L0.self_attn.v_proj,Base->Stage1,Lang,3.8676558107516474e-05,7.851048457107667e-10,1.414005241917593e-05,0.0015175980927115353,6.643990304533644e-10,1.722158924028036e-05,0.0013960707826339493,5.099301694257456e-13,5.475458313487527e-07,3.867660069760464e-05,1302.9215965032483,0.01865659075062088,2.9752502970440924e-14,0.01865659075062089,0.000517059250635636
Lang_L0.self_attn.v_proj,Stage1->Stage2,Lang,0.00012950594539333976,5.617920159941638e-09,5.115339168915156e-05,0.0040594444444873755,4.6849619307933845e-09,5.21240585277257e-05,0.0037070791087490855,5.717333512256126e-12,1.7707376568165421e-06,0.00012950173420733812,819.4312822140481,0.049532275234558235,3.008174193103909e-14,0.04953227523455824,0.001731337446159396
Lang_L0.self_attn.v_proj,Base->Stage2,Lang,0.00013435721796843997,6.0889399694451855e-09,5.378491400076513e-05,0.004226196315074683,5.0608760219519416e-09,5.442972922194625e-05,0.003852934889901669,6.15371070432495e-12,1.815782428854367e-06,0.00013435299697952153,822.4104552713304,0.05148113695466229,2.975314076022429e-14,0.0514811369546623,0.0017961950555964458
Lang_L0.self_attn.o_proj,Base->Stage1,Lang,2.84295224174667e-05,8.021591564640306e-10,1.3678075991039457e-05,0.001271787500877498,4.0083978184414864e-13,5.029773368792551e-07,2.842953055026061e-05,4.0083978184434034e-13,5.029773368793905e-07,2.842953055026739e-05,0.9999999999995217,3.2022111343659616e-13,1.738194851059616e-13,1.7479118514255422e-13,0.0012966278958702238
